split,action_id,box_location,unclear_reason,notes,labeled_at
train,action_0,outside,,,1779415539.838391
train,action_1,outside,,,1779415545.07108
train,action_2,outside,,,1779415550.366258
train,action_3,outside,,,1779415555.3674371
train,action_4,inside,,,1779415591.37779
train,action_5,outside,,,1779415597.510551
train,action_6,outside,,,1779415602.340183
train,action_7,outside,,,1779415607.74326
train,action_8,outside,,,1779415612.296395
train,action_9,outside,,,1779415619.296745
train,action_10,outside,,,1779415625.605974
train,action_11,outside,,,1779415632.165107
train,action_12,outside,,,1779415637.189985
train,action_13,outside,,,1779415642.3626099
train,action_14,outside,,,1779415647.418544
train,action_15,outside,,,1779415652.546203
train,action_16,outside,,,1779415663.2237608
train,action_17,outside,,,1779415669.577091
train,action_18,outside,,,1779415674.544729
train,action_19,outside,,,1779415679.3970702
train,action_20,outside,,,1779415683.815435
train,action_21,outside,,,1779415687.8353631
train,action_22,outside,,,1779415693.954981
train,action_23,outside,,,1779415699.841372
train,action_24,outside,,,1779415706.271809
train,action_25,outside,,,1779415712.386694
train,action_26,outside,,,1779415717.766182
train,action_27,outside,,,1779415721.989235
train,action_28,outside,,,1779415729.4766562
train,action_29,outside,,,1779415734.1883311
train,action_30,outside,,,1779415739.198421
train,action_31,outside,,,1779415744.463812
train,action_32,outside,,,1779415748.9889631
train,action_33,outside,,,1779415757.809957
train,action_34,outside,,,1779415762.881245
train,action_35,outside,,,1779415767.651208
train,action_36,outside,,,1779415773.3819132
train,action_37,outside,,,1779415777.898108
train,action_38,outside,,,1779415784.1365418
train,action_39,outside,,,1779415789.981341
train,action_40,outside,,,1779415796.335362
train,action_41,outside,,,1779415802.034823
train,action_42,inside,,,1779415828.56673
train,action_43,outside,,,1779415833.0844622
train,action_44,outside,,,1779415839.4111428
train,action_45,outside,,,1779415844.190145
train,action_46,outside,,,1779415848.6550279
train,action_47,outside,,,1779415852.747401
train,action_48,outside,,,1779415857.639986
train,action_49,outside,,,1779415862.0649972
train,action_50,outside,,,1779415866.8609228
train,action_51,outside,,,1779415872.38095
train,action_52,outside,,,1779415879.960025
train,action_53,outside,,,1779415884.5984871
train,action_54,outside,,,1779415893.696531
train,action_55,outside,,,1779415898.332074
train,action_56,outside,,,1779415904.462924
train,action_57,outside,,,1779415909.9441311
train,action_58,inside,,,1779415915.57342
train,action_59,outside,,,1779415920.5949209
train,action_60,outside,,,1779415925.424691
train,action_61,outside,,,1779415930.0753942
train,action_62,outside,,,1779415935.9064488
train,action_63,inside,,,1779415942.086872
train,action_64,outside,,,1779415952.129278
train,action_65,outside,,,1779415956.787868
train,action_66,outside,,,1779415960.853031
train,action_67,outside,,,1779415965.0359528
train,action_68,outside,,,1779415970.437103
train,action_69,outside,,,1779415985.324775
train,action_70,outside,,,1779415991.554522
train,action_71,outside,,,1779415996.9283142
train,action_72,outside,,,1779416001.671787
